ticket_id,text,category,summary
1,"My internet connection has been dropping constantly for the past 3 days. I've tried restarting the router multiple times but the problem persists. This is affecting my work from home. Please help urgently.",technical_issue,"Internet connection drops frequently for 3 days"
2,"I was charged $89.99 on my last bill but my plan says $79.99 per month. Can someone explain this extra charge? I want a refund if this is an error.",billing,"Customer questions extra $10 charge on bill"
3,"I need to update my email address on file. My old email john.doe@oldcompany.com is no longer active and I need to change it to john.doe@newcompany.com",account,"Customer requests email address update"
4,"Your customer service team was excellent! Jane helped me resolve my issue in under 10 minutes. Very professional and knowledgeable. Thank you!",feedback,"Positive feedback about customer service agent Jane"
5,"The wifi signal in my bedroom is very weak. I have the router in the living room. Do you offer any signal boosters or mesh systems?",technical_issue,"Customer inquires about wifi signal boosters"
6,"I've been a customer for 5 years and never had issues until now. My service keeps disconnecting every hour. I called support twice already with no resolution.",technical_issue,"Long-term customer experiencing hourly disconnections"
7,"Why did my monthly payment go from $65 to $75? Nobody informed me about a price increase. This is unacceptable.",billing,"Customer upset about $10 monthly price increase"
8,"I want to cancel my service effective immediately. The quality has been terrible and customer support is unhelpful.",account,"Customer wants immediate service cancellation"
9,"Just wanted to say the new mobile app is fantastic! Much easier to manage my account and pay bills now. Great work!",feedback,"Positive feedback about new mobile app"
10,"My modem lights are flashing red. I've unplugged it for 30 seconds and plugged back in but still red. What does this mean?",technical_issue,"Modem showing red lights after reset"
11,"I signed up for autopay but was still charged a late fee. Can you remove this fee and confirm autopay is working?",billing,"Autopay issue resulted in late fee"
12,"I need to add my spouse to the account as an authorized user. How do I do that?",account,"Customer wants to add authorized user"
13,"The technician who came yesterday was rude and didn't fix my problem. I want to file a complaint.",feedback,"Negative feedback about technician service"
14,"My download speed is only 50 Mbps but I'm paying for 200 Mbps. Ran multiple speed tests. Something is wrong.",technical_issue,"Customer getting 25% of advertised internet speed"
15,"Can you explain all the fees on my bill? There are 5 different charges I don't understand.",billing,"Customer confused about multiple bill charges"
16,"I moved to a new apartment. How do I transfer my service to the new address?",account,"Customer requests service transfer to new address"
17,"The online chat support is useless. Waited 45 minutes and got no help. You need better support.",feedback,"Negative feedback about chat support wait times"
18,"My TV service freezes every few minutes during primetime. Very frustrating. This started 2 weeks ago.",technical_issue,"TV service freezing during peak hours"
19,"I was promised a $20 discount for 12 months when I signed up but it's not on my bill. Please honor this.",billing,"Promotional discount not applied to bill"
20,"I forgot my account password and the reset link isn't working. Can you help me regain access?",account,"Customer locked out of account"
21,"Your website is so slow. Takes forever to load pages. Please fix this.",feedback,"Website performance complaint"
22,"No internet for 6 hours now. This is the 3rd outage this month. When will this be fixed?",technical_issue,"Third internet outage this month lasting 6+ hours"
23,"I see a charge for equipment rental but I bought my own modem. Remove this charge please.",billing,"Incorrect equipment rental charge"
24,"Can I change my plan to a lower tier? I don't need the high speed anymore.",account,"Customer wants to downgrade service plan"
25,"Shoutout to Mike in billing department. He saved me $30/month by finding a better plan!",feedback,"Positive feedback about billing agent Mike"
26,"The ethernet ports on my router don't work. Only wifi works. Is the router defective?",technical_issue,"Router ethernet ports not functioning"
27,"I paid my bill on time but received a disconnect notice. This is an error on your end.",billing,"Customer received incorrect disconnect notice"
28,"How do I set up parental controls on my account? I have young children.",account,"Customer inquires about parental controls setup"
29,"Your new pricing is ridiculous. Considering switching to a competitor who offers better rates.",feedback,"Customer threatens to switch due to pricing"
30,"Smart home devices keep disconnecting from wifi. Never had this issue before the recent router update.",technical_issue,"Smart devices disconnect after router firmware update"
31,"Double charged this month. I see two charges of $79.99 on my credit card. Need immediate refund.",billing,"Customer double charged this month"
32,"I want to add premium channels to my TV package. What options do you have?",account,"Customer wants to add premium TV channels"
33,"Installation technician arrived 3 hours late without calling. Very unprofessional.",feedback,"Complaint about late installation appointment"
34,"Getting error code E-1105 on my cable box. What does this mean and how do I fix it?",technical_issue,"Cable box showing error code E-1105"
35,"My promotional rate expired. Can I get another discount? Otherwise I'm canceling.",billing,"Customer requests new promotion after expiration"
36,"Need to update my payment method. My credit card was replaced.",account,"Customer needs to update payment card"
37,"Best ISP I've ever used! Reliable, fast, and affordable. Highly recommend!",feedback,"General positive feedback about service"
38,"VPN connection drops constantly. Is my ISP blocking VPN traffic?",technical_issue,"Customer experiencing VPN connection issues"
39,"Unauthorized charge of $15.99 labeled as 'premium support'. I never authorized this. Refund now.",billing,"Disputed unauthorized premium support charge"
40,"Can I pause my service for 2 months while I travel abroad?",account,"Customer wants temporary service suspension"
41,"Your app keeps crashing on my iPhone. Please release an update.",feedback,"Mobile app stability issues on iOS"
42,"Upload speed is terrible. Only getting 5 Mbps upload on a 100 Mbps plan.",technical_issue,"Upload speed much slower than advertised"
43,"Why do I have to pay taxes on internet service? This seems excessive.",billing,"Customer questions tax charges on bill"
44,"I need a receipt for my last 6 months of payments for tax purposes.",account,"Customer requests payment history receipts"
45,"The hold music when calling support is way too loud. Please lower the volume.",feedback,"Complaint about hold music volume"
46,"Losing packets constantly. Ping spikes to 300ms. Makes gaming impossible.",technical_issue,"High latency and packet loss affecting gaming"
47,"Was told installation is free but got charged $99. This is false advertising.",billing,"Customer charged for supposedly free installation"
48,"Can I get a static IP address? I'm running a home server.",account,"Customer requests static IP for home server"
49,"Contacted support 5 times this month. Every agent gives different information. Very frustrating.",feedback,"Inconsistent information from support agents"
50,"Intermittent connection issues during evening hours only. Fine during the day.",technical_issue,"Evening-only connectivity problems"
