ticket_id,text,category,summary,processed_text,cleaned_text
1,"My internet connection has been dropping constantly for the past 3 days. I've tried restarting the router multiple times but the problem persists. This is affecting my work from home. Please help urgently.",technical_issue,"Internet connection drops frequently for 3 days","internet connection drop constantly past day try restart router multiple time problem persist affect work home help urgently","my internet connection has been dropping constantly for the past 3 days ive tried restarting the router multiple times but the problem persists this is affecting my work from home please help urgently"
2,"I was charged $89.99 on my last bill but my plan says $79.99 per month. Can someone explain this extra charge? I want a refund if this is an error.",billing,"Customer questions extra $10 charge on bill","charge 8999 last bill plan say 7999 per month explain extra charge want refund error","i was charged 8999 on my last bill but my plan says 7999 per month can someone explain this extra charge i want a refund if this is an error"
3,"I need to update my email address on file. My old email john.doe@oldcompany.com is no longer active and I need to change it to john.doe@newcompany.com",account,"Customer requests email address update","need update [EMAIL] address file old [EMAIL] longer active need change","i need to update my email address on file my old email [EMAIL] is no longer active and i need to change it to [EMAIL]"
4,"Your customer service team was excellent! Jane helped me resolve my issue in under 10 minutes. Very professional and knowledgeable. Thank you!",feedback,"Positive feedback about customer service agent Jane","customer service team excellent jane help resolve issue 10 minute professional knowledgeable thank","your customer service team was excellent jane helped me resolve my issue in under 10 minutes very professional and knowledgeable thank you"
5,"The wifi signal in my bedroom is very weak. I have the router in the living room. Do you offer any signal boosters or mesh systems?",technical_issue,"Customer inquires about wifi signal boosters","wifi signal bedroom weak router living room offer signal booster mesh system","the wifi signal in my bedroom is very weak i have the router in the living room do you offer any signal boosters or mesh systems"
6,"I've been a customer for 5 years and never had issues until now. My service keeps disconnecting every hour. I called support twice already with no resolution.",technical_issue,"Long-term customer experiencing hourly disconnections","customer 5 year never issue service keep disconnect hour call support twice already resolution","ive been a customer for 5 years and never had issues until now my service keeps disconnecting every hour i called support twice already with no resolution"
7,"Why did my monthly payment go from $65 to $75? Nobody informed me about a price increase. This is unacceptable.",billing,"Customer upset about $10 monthly price increase","monthly payment go 65 75 nobody inform price increase unacceptable","why did my monthly payment go from 65 to 75 nobody informed me about a price increase this is unacceptable"
8,"I want to cancel my service effective immediately. The quality has been terrible and customer support is unhelpful.",account,"Customer wants immediate service cancellation","want cancel service effective immediately quality terrible customer support unhelpful","i want to cancel my service effective immediately the quality has been terrible and customer support is unhelpful"
9,"Just wanted to say the new mobile app is fantastic! Much easier to manage my account and pay bills now. Great work!",feedback,"Positive feedback about new mobile app","want say new mobile app fantastic much easy manage account pay bill great work","just wanted to say the new mobile app is fantastic much easier to manage my account and pay bills now great work"
10,"My modem lights are flashing red. I've unplugged it for 30 seconds and plugged back in but still red. What does this mean?",technical_issue,"Modem showing red lights after reset","modem light flash red unplug 30 second plug back still red mean","my modem lights are flashing red ive unplugged it for 30 seconds and plugged back in but still red what does this mean"
11,"I signed up for autopay but was still charged a late fee. Can you remove this fee and confirm autopay is working?",billing,"Autopay issue resulted in late fee","sign autopay still charge late fee remove fee confirm autopay work","i signed up for autopay but was still charged a late fee can you remove this fee and confirm autopay is working"
12,"I need to add my spouse to the account as an authorized user. How do I do that?",account,"Customer wants to add authorized user","need add spouse account authorize user","i need to add my spouse to the account as an authorized user how do i do that"
13,"The technician who came yesterday was rude and didn't fix my problem. I want to file a complaint.",feedback,"Negative feedback about technician service","technician come yesterday rude fix problem want file complaint","the technician who came yesterday was rude and didnt fix my problem i want to file a complaint"
14,"My download speed is only 50 Mbps but I'm paying for 200 Mbps. Ran multiple speed tests. Something is wrong.",technical_issue,"Customer getting 25% of advertised internet speed","download speed 50 mbps pay 200 mbps run multiple speed test wrong","my download speed is only 50 mbps but im paying for 200 mbps ran multiple speed tests something is wrong"
15,"Can you explain all the fees on my bill? There are 5 different charges I don't understand.",billing,"Customer confused about multiple bill charges","explain fee bill 5 different charge understand","can you explain all the fees on my bill there are 5 different charges i dont understand"
16,"I moved to a new apartment. How do I transfer my service to the new address?",account,"Customer requests service transfer to new address","move new apartment transfer service new address","i moved to a new apartment how do i transfer my service to the new address"
17,"The online chat support is useless. Waited 45 minutes and got no help. You need better support.",feedback,"Negative feedback about chat support wait times","online chat support useless wait 45 minute get help need good support","the online chat support is useless waited 45 minutes and got no help you need better support"
18,"My TV service freezes every few minutes during primetime. Very frustrating. This started 2 weeks ago.",technical_issue,"TV service freezing during peak hours","tv service freeze minute primetime frustrating start 2 week ago","my tv service freezes every few minutes during primetime very frustrating this started 2 weeks ago"
19,"I was promised a $20 discount for 12 months when I signed up but it's not on my bill. Please honor this.",billing,"Promotional discount not applied to bill","promise 20 discount 12 month sign bill honor","i was promised a 20 discount for 12 months when i signed up but its not on my bill please honor this"
20,"I forgot my account password and the reset link isn't working. Can you help me regain access?",account,"Customer locked out of account","forget account password reset link work help regain access","i forgot my account password and the reset link isnt working can you help me regain access"
21,"Your website is so slow. Takes forever to load pages. Please fix this.",feedback,"Website performance complaint","website slow take forever load page fix","your website is so slow takes forever to load pages please fix this"
22,"No internet for 6 hours now. This is the 3rd outage this month. When will this be fixed?",technical_issue,"Third internet outage this month lasting 6+ hours","internet 6 hour 3rd outage month fix","no internet for 6 hours now this is the 3rd outage this month when will this be fixed"
23,"I see a charge for equipment rental but I bought my own modem. Remove this charge please.",billing,"Incorrect equipment rental charge","see charge equipment rental buy modem remove charge","i see a charge for equipment rental but i bought my own modem remove this charge please"
24,"Can I change my plan to a lower tier? I don't need the high speed anymore.",account,"Customer wants to downgrade service plan","change plan low tier need high speed anymore","can i change my plan to a lower tier i dont need the high speed anymore"
25,"Shoutout to Mike in billing department. He saved me $30/month by finding a better plan!",feedback,"Positive feedback about billing agent Mike","shoutout mike billing department save 30month find good plan","shoutout to mike in billing department he saved me 30month by finding a better plan"
26,"The ethernet ports on my router don't work. Only wifi works. Is the router defective?",technical_issue,"Router ethernet ports not functioning","ethernet port router work wifi work router defective","the ethernet ports on my router dont work only wifi works is the router defective"
27,"I paid my bill on time but received a disconnect notice. This is an error on your end.",billing,"Customer received incorrect disconnect notice","pay bill time receive disconnect notice error end","i paid my bill on time but received a disconnect notice this is an error on your end"
28,"How do I set up parental controls on my account? I have young children.",account,"Customer inquires about parental controls setup","set parental control account young child","how do i set up parental controls on my account i have young children"
29,"Your new pricing is ridiculous. Considering switching to a competitor who offers better rates.",feedback,"Customer threatens to switch due to pricing","new pricing ridiculous consider switch competitor offer good rate","your new pricing is ridiculous considering switching to a competitor who offers better rates"
30,"Smart home devices keep disconnecting from wifi. Never had this issue before the recent router update.",technical_issue,"Smart devices disconnect after router firmware update","smart home device keep disconnect wifi never issue recent router update","smart home devices keep disconnecting from wifi never had this issue before the recent router update"
31,"Double charged this month. I see two charges of $79.99 on my credit card. Need immediate refund.",billing,"Customer double charged this month","double charge month see charge 7999 credit card need immediate refund","double charged this month i see two charges of 7999 on my credit card need immediate refund"
32,"I want to add premium channels to my TV package. What options do you have?",account,"Customer wants to add premium TV channels","want add premium channel tv package option","i want to add premium channels to my tv package what options do you have"
33,"Installation technician arrived 3 hours late without calling. Very unprofessional.",feedback,"Complaint about late installation appointment","installation technician arrive 3 hour late without call unprofessional","installation technician arrived 3 hours late without calling very unprofessional"
34,"Getting error code E-1105 on my cable box. What does this mean and how do I fix it?",technical_issue,"Cable box showing error code E-1105","get error code e1105 cable box mean fix","getting error code e1105 on my cable box what does this mean and how do i fix it"
